,nama,harga,gambar,diskon,rating
28,SSD WD Element / Elements SE 2TB - Portable / External / Eksternal SSD,Rp 3.210.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/6/ecfc4ba3-7d79-4c71-80fa-746f6c3d4734.jpg,0,99
29,SSD WD Element / Elements SE 1TB - Portable / External / Eksternal SSD,Rp 1.770.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/6/4c7fafa0-c958-4751-8456-99224b09beee.jpg,0,99
30,SSD WD Element / Elements SE 480GB - Portable External / Eksternal SSD,Rp 1.340.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/6/75899edd-aa53-4237-bb43-2ce6e86975c6.jpg,0,96
31,"WD My Book 14TB Black Hitam - HD HDD Hardisk Eksternal External 3.5""",Rp 5.465.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/6/84e8151a-c38a-4940-b15b-44529aa9a9aa.jpg,2,99
32,"WD Scorpio Blue 1TB - HD HDD Hardisk Internal 2.5"" For Laptop",Rp 760.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/5/26/d65656fc-9ba8-4f28-a68d-67b8a4e7f161.jpg,0,99
33,"WD Caviar Red 6TB - HD HDD Hardisk Internal 3.5"" For NAS",Rp 2.950.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/5/26/e5afa675-abf4-4f7e-9f25-a7489d82183e.jpg,0,99
34,"WD Caviar Blue 6TB - HD HDD Hardisk Internal 3.5"" For PC",Rp 2.460.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/5/26/3172b6cc-f6c5-4c0f-b724-7d417f388c41.jpg,0,98
35,WD My Cloud PRO Series PR2100 16TB - Hardisk Eksternal,Rp 18.610.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2021/6/14/69051761-c5fc-4d3f-ad3d-eb79ec9bc990.jpg,0,0
36,WD My Cloud PRO Series PR4100 32TB - Hardisk Eksternal,Rp 32.605.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2021/6/14/ec936fbd-8d9c-4c39-8bb5-0abac9055eb6.jpg,0,0
37,WD My Cloud PRO Series PR4100 24TB - Hardisk Eksternal,Rp 25.515.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2021/6/14/a25dd5cd-7bb8-4639-af73-fe0c93635dc7.jpg,0,100
38,WD My Book Duo 16TB - HD HDD Hardisk Eksternal External,Rp 8.350.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2021/6/9/a00b9d66-2c17-4b30-9371-62bcd80a7650.jpg,0,100
39,"WD Caviar Purple 12TB - HD Hardisk Internal 3.5"" for CCTV Surveillance",Rp 5.975.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2021/9/15/570360a0-aa24-4f21-b269-708a4d79e576.jpg,0,96
40,"WD Caviar Red 12TB - HD HDD Hardisk Internal 3.5"" For NAS",Rp 5.775.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/5/26/492f2c86-5eb3-43b2-a0aa-3190ba435db4.jpg,0,98
41,"WD Caviar Red 14TB - HD HDD Hardisk Internal 3.5"" For NAS",Rp 7.435.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/5/26/7f4e2ce2-e52f-4339-9090-3be89aa80657.jpg,0,100
42,WD Black P10 5TB Game Drive - Hardisk Eksternal Gaming,Rp 2.250.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/6/6/2f874da7-2896-42a1-89db-a0e09c00e3f5.jpg,3,99
43,WD My Cloud Home Duo 4TB - Hardisk Eksternal Personal Cloud Storage,Rp 5.630.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2020/10/22/a6e89b16-0416-48a0-b79d-3ab1b18b27df.jpg,0,0
44,"WD My Passport Ultra 5TB - HD HDD Hardisk Eksternal External 2.5""",Rp 2.279.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/6/117873c2-d5da-4c28-beaf-0c94ce5adc25.jpg,4,98
45,"WD My Book 12TB Black Hitam - HD HDD Hardisk Eksternal External 3.5""",Rp 4.605.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/6/93072052-fd33-4e6f-ab13-f32373502d3b.jpg,2,99
46,Promo WD Element / Elements 4TB - HD Hardisk Eksternal External 2.5,Rp 1.625.000,https://images.tokopedia.net/img/cache/300-square/product-1/2020/9/11/95714016/95714016_eab2578c-989e-44b0-9e0b-86cb64993108_700_700,6,97
47,New WD My Passport SSD 2TB - Portable / External / Eksternal SSD,Rp 3.855.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/6/5ba10250-6dfa-4ac3-82aa-a1be37ab7e0a.jpg,0,98
48,New WD My Passport SSD 1TB - Portable / External / Eksternal SSD,Rp 1.925.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/6/b47e78d7-f99a-477f-8eca-1c46c32d25b8.jpg,0,98
49,New WD My Passport SSD 500GB - Portable / External / Eksternal SSD,Rp 1.430.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/6/e54558f5-7ca2-4aa3-a0af-318548302e58.jpg,0,98
50,"WD My Passport 5TB - HD HDD Hardisk Eksternal External 2.5"" USB 3.0",Rp 2.009.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/6/fca639bd-e296-4d6b-b9fe-e959834e4907.jpg,5,98
51,"WD My Passport 5TB Biru - HD HDD Hardisk Eksternal External 2.5""",Rp 2.009.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/6/ed4cbd47-b2d6-490e-a5d4-049f67c882d6.jpg,5,98
52,"WD My Passport 5TB Merah - HD HDD Hardisk Eksternal External 2.5""",Rp 2.009.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/6/f563c307-cc98-417c-968b-863bc6244647.jpg,5,98
53,"WD My Passport 5TB Putih - HD HDD Hardisk Eksternal External 2.5""",Rp 2.009.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/6/82c34c20-0b8e-4be5-b516-3244c3766853.jpg,5,98
54,"WD Caviar Red 10TB - HD HDD Hardisk Internal 3.5"" For NAS",Rp 4.780.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/5/26/1f6eb9d0-73ff-4269-af88-dda43d51d792.jpg,0,96
55,SSD WD Red 2TB SATA NAS,Rp 5.500.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/7/14/a43b96a2-3da1-4d1b-aa7c-73d0e9354f09.jpg,0,100
